weather_id,country,state,reading_date,rainfall_mm,avg_temp_c,humidity_pct
1,Nigeria,Kaduna,2026-01-01,0.0,31.1,60.0
2,Nigeria,Kano,2026-01-01,1.3,25.4,50.1
3,Nigeria,Rivers,2026-01-01,6.0,27.0,64.1
4,Nigeria,Benue,2026-01-01,8.0,28.7,81.6
5,Nigeria,Oyo,2026-01-01,5.2,32.6,68.0
6,Ghana,Ashanti,2026-01-01,2.9,25.8,64.9
7,Ghana,Greater Accra,2026-01-01,0.0,24.2,54.9
8,Kenya,Nakuru,2026-01-01,7.0,26.7,73.9
9,Kenya,Kiambu,2026-01-01,0.9,24.4,54.9
10,Kenya,Kisumu,2026-01-01,3.8,20.9,56.9
11,Nigeria,Kaduna,2026-01-02,0.8,30.8,61.8
12,Nigeria,Kano,2026-01-02,1.4,27.6,50.9
13,Nigeria,Rivers,2026-01-02,6.4,25.0,61.9
14,Nigeria,Benue,2026-01-02,0.0,25.5,54.0
15,Nigeria,Oyo,2026-01-02,0.0,31.1,47.6
16,Ghana,Ashanti,2026-01-02,0.0,28.4,47.4
17,Ghana,Greater Accra,2026-01-02,3.5,28.6,62.1
18,Kenya,Nakuru,2026-01-02,0.0,25.5,54.0
19,Kenya,Kiambu,2026-01-02,4.0,23.9,60.7
20,Kenya,Kisumu,2026-01-02,0.0,27.8,58.5
21,Nigeria,Kaduna,2026-01-03,0.0,28.6,62.8
22,Nigeria,Kano,2026-01-03,2.6,26.8,58.2
23,Nigeria,Rivers,2026-01-03,0.3,28.1,52.3
24,Nigeria,Benue,2026-01-03,0.0,26.3,60.3
25,Nigeria,Oyo,2026-01-03,0.0,25.3,54.4
26,Ghana,Ashanti,2026-01-03,2.9,31.0,69.0
27,Ghana,Greater Accra,2026-01-03,3.6,29.0,58.9
28,Kenya,Nakuru,2026-01-03,1.3,23.2,66.0
29,Kenya,Kiambu,2026-01-03,0.0,27.6,55.3
30,Kenya,Kisumu,2026-01-03,2.6,22.7,64.9
31,Nigeria,Kaduna,2026-01-04,4.8,27.0,70.9
32,Nigeria,Kano,2026-01-04,5.1,29.5,75.9
33,Nigeria,Rivers,2026-01-04,0.6,27.9,56.7
34,Nigeria,Benue,2026-01-04,0.0,31.9,61.3
35,Nigeria,Oyo,2026-01-04,0.0,28.1,55.5
36,Ghana,Ashanti,2026-01-04,3.9,28.3,64.2
