price_id,crop_id,market_name,country,price_date,price_per_kg,currency
1,1,Mile 12 Market,Nigeria,2025-01-15,1301.9,NGN
2,1,Wuse Market,Nigeria,2025-01-15,1396.95,NGN
3,1,Bodija Market,Nigeria,2025-01-15,1750.03,NGN
4,1,Makola Market,Ghana,2025-01-15,20.5,GHS
5,1,Wakulima Market,Kenya,2025-01-15,177.93,KES
6,1,Kongowea Market,Kenya,2025-01-15,185.75,KES
7,2,Mile 12 Market,Nigeria,2025-01-15,2547.49,NGN
8,2,Wuse Market,Nigeria,2025-01-15,2090.06,NGN
9,2,Bodija Market,Nigeria,2025-01-15,2374.19,NGN
10,2,Makola Market,Ghana,2025-01-15,23.27,GHS
11,2,Kumasi Central,Ghana,2025-01-15,22.12,GHS
12,2,Wakulima Market,Kenya,2025-01-15,301.63,KES
13,2,Kongowea Market,Kenya,2025-01-15,262.67,KES
14,3,Mile 12 Market,Nigeria,2025-01-15,754.77,NGN
15,3,Wuse Market,Nigeria,2025-01-15,656.68,NGN
16,3,Bodija Market,Nigeria,2025-01-15,887.57,NGN
17,3,Makola Market,Ghana,2025-01-15,10.46,GHS
18,3,Kumasi Central,Ghana,2025-01-15,9.01,GHS
19,3,Wakulima Market,Kenya,2025-01-15,102.55,KES
20,3,Kongowea Market,Kenya,2025-01-15,104.74,KES
21,4,Mile 12 Market,Nigeria,2025-01-15,1373.96,NGN
22,4,Wuse Market,Nigeria,2025-01-15,1531.88,NGN
23,4,Bodija Market,Nigeria,2025-01-15,1250.0,NGN
24,4,Makola Market,Ghana,2025-01-15,18.15,GHS
25,4,Kumasi Central,Ghana,2025-01-15,15.73,GHS
26,4,Kongowea Market,Kenya,2025-01-15,151.67,KES
27,5,Mile 12 Market,Nigeria,2025-01-15,567.7,NGN
28,5,Wuse Market,Nigeria,2025-01-15,488.06,NGN
29,5,Bodija Market,Nigeria,2025-01-15,539.85,NGN
30,5,Makola Market,Ghana,2025-01-15,6.62,GHS
31,5,Kumasi Central,Ghana,2025-01-15,7.28,GHS
32,5,Wakulima Market,Kenya,2025-01-15,67.46,KES
33,5,Kongowea Market,Kenya,2025-01-15,67.04,KES
34,6,Mile 12 Market,Nigeria,2025-01-15,1769.17,NGN
35,6,Wuse Market,Nigeria,2025-01-15,1664.16,NGN
36,6,Bodija Market,Nigeria,2025-01-15,1461.8,NGN
37,6,Makola Market,Ghana,2025-01-15,20.29,GHS
38,6,Kumasi Central,Ghana,2025-01-15,21.84,GHS
39,6,Wakulima Market,Kenya,2025-01-15,185.84,KES
40,6,Kongowea Market,Kenya,2025-01-15,203.07,KES
41,7,Mile 12 Market,Nigeria,2025-01-15,1045.68,NGN
42,7,Wuse Market,Nigeria,2025-01-15,979.75,NGN
43,7,Bodija Market,Nigeria,2025-01-15,1299.62,NGN
44,7,Makola Market,Ghana,2025-01-15,13.67,GHS
45,7,Kumasi Central,Ghana,2025-01-15,15.67,GHS
46,7,Wakulima Market,Kenya,2025-01-15,141.76,KES
47,7,Kongowea Market,Kenya,2025-01-15,141.8,KES
48,8,Mile 12 Market,Nigeria,2025-01-15,1747.46,NGN
49,8,Wuse Market,Nigeria,2025-01-15,2289.4,NGN
50,8,Bodija Market,Nigeria,2025-01-15,1836.54,NGN
51,8,Makola Market,Ghana,2025-01-15,20.93,GHS
52,8,Wakulima Market,Kenya,2025-01-15,235.64,KES
53,8,Kongowea Market,Kenya,2025-01-15,232.27,KES
54,9,Mile 12 Market,Nigeria,2025-01-15,4038.65,NGN
55,9,Wuse Market,Nigeria,2025-01-15,4119.75,NGN
56,9,Bodija Market,Nigeria,2025-01-15,3609.65,NGN
57,9,Makola Market,Ghana,2025-01-15,51.07,GHS
58,9,Kumasi Central,Ghana,2025-01-15,42.41,GHS
59,9,Wakulima Market,Kenya,2025-01-15,568.49,KES
60,9,Kongowea Market,Kenya,2025-01-15,531.36,KES
61,10,Mile 12 Market,Nigeria,2025-01-15,4842.96,NGN
62,10,Wuse Market,Nigeria,2025-01-15,5438.56,NGN
63,10,Bodija Market,Nigeria,2025-01-15,4615.98,NGN
64,10,Makola Market,Ghana,2025-01-15,63.8,GHS
65,10,Wakulima Market,Kenya,2025-01-15,744.3,KES
66,10,Kongowea Market,Kenya,2025-01-15,595.62,KES
67,11,Mile 12 Market,Nigeria,2025-01-15,1290.99,NGN
68,11,Wuse Market,Nigeria,2025-01-15,1542.19,NGN
